comment_id,status_id,parent_id,comment_published,comment_message,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
880169562052092_880224192046629,462508190484900_880169562052092,,5/12/15 17:00,#39871 Ask them why they need to keep pulling all-nighters. Send passive aggressive emails about better time management :),10,10,0,0,0,0,0,0
880169562052092_880339465368435,462508190484900_880169562052092,,5/12/15 21:00,"#99270 This is actually so relevant, glad someone finally said it",0,0,0,0,0,0,0,0
873740366028345_873743596028022,462508190484900_873740366028345,,4/27/15 13:56,#37934 Maybe try using toilet paper instead of your hands,86,86,0,0,0,0,0,0
873740366028345_873751232693925,462508190484900_873740366028345,,4/27/15 14:17,"#47952 I just take off my ring when I go to the bathroom. You're going to want to take the ring off when you wash your hands anyway (IF you're washing your hands), so you may as well do it beforehand.",0,0,0,0,0,0,0,0
873739442695104_873758992693149,462508190484900_873739442695104,,4/27/15 14:37,#23717 Safe sex is both classy and a completely serious matter.,96,96,0,0,0,0,0,0
873739442695104_873746246027757,462508190484900_873739442695104,,4/27/15 14:04,"#45323 You ask ""are you fucking serious?"" My guess is no: they weren't being serious. It was most likely a joke.",34,34,0,0,0,0,0,0
873739442695104_873796389356076,462508190484900_873739442695104,,4/27/15 15:54,#32815 It's not batman's responsibility to protect Gotham.,23,23,0,0,0,0,0,0
873738856028496_873741409361574,462508190484900_873738856028496,,4/27/15 13:49,#39624 Have them walk in on you mid-jerk. Maintain eye contact. Finish.,5,5,0,0,0,0,0,0
873738789361836_873806792688369,462508190484900_873738789361836,,4/27/15 16:30,#40156 Four weeks left in the semester. You can do it!,12,12,0,0,0,0,0,0
873738686028513_873806706021711,462508190484900_873738686028513,,4/27/15 16:29,#73969 or mirrors at both ends to make it seem actually infinite?,3,3,0,0,0,0,0,0
873738686028513_873808522688196,462508190484900_873738686028513,,4/27/15 16:34,#32481 I always thought an Interstellaresque 5-dimensional infinite bookshelf would be cool,4,4,0,0,0,0,0,0
870484689687246_870490066353375,462508190484900_870484689687246,,4/21/15 13:06,"#9945 Dont forget to practice your moves, it requires more than looks",20,20,0,0,0,0,0,0
870484689687246_870516206350761,462508190484900_870484689687246,,4/21/15 14:14,#80714 I consider this every time finals are approaching,7,7,0,0,0,0,0,0
870484689687246_870591726343209,462508190484900_870484689687246,,4/21/15 17:48,#86832 My high school pole vaulting days were for this sole reason,3,3,0,0,0,0,0,0
870484689687246_870909989644716,462508190484900_870484689687246,,4/22/15 9:25,#28126 Too smart! For that you would need to be a DUMB blonde!,0,0,0,0,0,0,0,0
870484689687246_870598273009221,462508190484900_870484689687246,,4/21/15 18:16,#34166 CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME,3,3,0,0,0,0,0,0
870484569687258_875180322551016,462508190484900_870484569687258,,4/30/15 9:52,"#44542 when I was in graduate school here I did the same thing. it wasn't until I graduated that I realized extracurriculars/social life were necessary conditions for me to have good grades, bc without them, I burned out",3,3,0,0,0,0,0,0
857719497630432_857741444294904,462508190484900_857719497630432,,3/29/15 9:18,"#44947 you might find yourself in quite a predicament when you have a bong, but forgot to save up for weed",14,14,0,0,0,0,0,0
857718767630505_857863304282718,462508190484900_857718767630505,,3/29/15 14:07,#19734 CPW is a great time. The little ones have less inertia...,20,20,0,0,0,0,0,0
857718767630505_858252360910479,462508190484900_857718767630505,,3/30/15 10:28,#25514 I intentionally start shit with people #letsfight,0,0,0,0,0,0,0,0
846783018724080_850405531695162,462508190484900_846783018724080,,3/14/15 19:46,#97472 You could've just looked up SAE's composites online...why are you so lazy?,4,4,0,0,0,0,0,0
844038795665169_844357468966635,462508190484900_844038795665169,,3/4/15 13:13,#10609 The MIT librarians deserve sainthood for putting up with the amount of shit like this they have to deal with. This is #whywecanthavenicethings,15,15,0,0,0,0,0,0
839150432820672_839189369483445,462508190484900_839150432820672,,2/22/15 13:25,#7754 Would you go see it with a guy? I'd be willing to see it a second time,2,2,0,0,0,0,0,0
839150432820672_840369456032103,462508190484900_839150432820672,,2/24/15 18:17,#28659 Or you could find seven nice girls to see it with. That's what I did.,0,0,0,0,0,0,0,0
839150432820672_839336272802088,462508190484900_839150432820672,,2/22/15 19:09,#75869 The relationship in fifty shades is abusive and controlling. So no.,0,0,0,0,0,0,0,0
800209160048133_800236843378698,462508190484900_800209160048133,,12/18/14 13:26,#61283 As an aviation-sexual half-bomb kin you being triggered is triggering me. #oppression,17,17,0,0,0,0,0,0
800209160048133_800211963381186,462508190484900_800209160048133,,12/18/14 12:30,#74545 the shirts only offend you during finals week? but not the rest of the year? what...,8,8,0,0,0,0,0,0
800208316714884_800462070022842,462508190484900_800208316714884,,12/18/14 23:15,#77218 I agree so much with this. One of my exam questions said I'm a recruiter for a basketball team. That is downright insulting.,0,0,0,0,0,0,0,0
800208066714909_800236716712044,462508190484900_800208066714909,,12/18/14 13:26,"#89998 I told you CUSTOM_NAME, I don't swing that way. I'm sorry",9,9,0,0,0,0,0,0
800208066714909_800215893380793,462508190484900_800208066714909,,12/18/14 12:40,"#86404 PROTIP: you've met dozens, you just weren't interested.",10,10,0,0,0,0,0,0
800208066714909_800892889979760,462508190484900_800208066714909,,12/19/14 16:32,"#80965 CUSTOM_NAME , maybe we should start a club.",1,1,0,0,0,0,0,0
800208066714909_800229953379387,462508190484900_800208066714909,,12/18/14 13:11,"#49353 Ayo hmu, ain't nothin better than bein lil spoon while singin along to Coco",1,1,0,0,0,0,0,0
800208066714909_800324026703313,462508190484900_800208066714909,,12/18/14 16:52,"#44917 If by good music you mean something like metal, then I can be that guy.",0,0,0,0,0,0,0,0
800207870048262_801315576604158,462508190484900_800207870048262,,12/20/14 13:19,#1275 Nah I like the freshmen on my floor and playing basketball in the lounge,3,3,0,0,0,0,0,0
800207870048262_800374730031576,462508190484900_800207870048262,,12/18/14 18:42,"#22299 CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME meanwhile, in Safety Third...",3,3,0,0,0,0,0,0
797495160319533_797503596985356,462508190484900_797495160319533,,12/13/14 14:48,#58264 :D CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME,5,5,0,0,0,0,0,0
797495160319533_801322336603482,462508190484900_797495160319533,,12/20/14 13:32,"#69464 Oh, i know a better way to clean your teeth, mouthwash, if you know whati mean ;)",1,1,0,0,0,0,0,0
797495160319533_797646853637697,462508190484900_797495160319533,,12/13/14 22:15,"#88806 Jeez, just find a partner or fuckbuddy if you're that horny all the time",0,0,0,0,0,0,0,0
793060654096317_793098137425902,462508190484900_793060654096317,,12/5/14 19:46,"#24114 Let's be honest, you're thinking of someone in specific and this is the most passive and safe way you can think of to say something to them. So, don't lecture about bravery.",55,55,0,0,0,0,0,0
793060654096317_793085117427204,462508190484900_793060654096317,,12/5/14 19:03,#97537 Because girls are icky. Guys show off for other guys,14,14,0,0,0,0,0,0
793060654096317_793431724059210,462508190484900_793060654096317,,12/6/14 13:11,#67118 You could be brave enough to approach them instead of posting anonymously about your problems with specific people.,5,5,0,0,0,0,0,0
793060577429658_793098227425893,462508190484900_793060577429658,,12/5/14 19:46,"#85821 S^2 currently has additional walkin hours 2-3:30pm, too!",0,0,0,0,0,0,0,0
793060577429658_793071287428587,462508190484900_793060577429658,,12/5/14 18:14,#37407 Mental health also has walk-in hours 2-4pm.,0,0,0,0,0,0,0,0
793060577429658_793071240761925,462508190484900_793060577429658,,12/5/14 18:14,#70326 They'll have extra walk-in hour starting next week for finals.,0,0,0,0,0,0,0,0
793060577429658_793070540761995,462508190484900_793060577429658,,12/5/14 18:11,#11227 CUSTOM_NAME you should really talk to him then. He actually does seem to want people to tell him what's wrong. You too OP. Or ask the UA Wellness Committee to do so on your behalf.,0,0,0,0,0,0,0,0
793060510762998_793076304094752,462508190484900_793060510762998,,12/5/14 18:34,#22122 they're probably upset because they're too ugly to be EE! and they're worried that you'll be better at it than them! don't let what a couple of jerks tell you get under your skin :),34,34,0,0,0,0,0,0
793060510762998_793068240762225,462508190484900_793060510762998,,12/5/14 18:01,"#56300 That's nonsense, and those guys are jerks. Looks and gender don't dictate your technical ability, hard work does. Feel free to pm me if you want someone to talk to!",21,21,0,0,0,0,0,0
