comment_id,status_id,parent_id,comment_published,comment_message,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1585049404897434_1585825758153132,462508190484900_1585049404897434,,11/1/17 18:35,"#30564 Something something it's what YOU make of the experience, maybe you just grew and learned more from it than them",3,2,0,0,1,0,0,0
1585049404897434_1585753614827013,462508190484900_1585049404897434,,11/1/17 16:49,#56729 Meanwhile you have intimidated many by simply attending MIT ...,6,6,0,0,0,0,0,0
1585049164897458_1585687764833598,462508190484900_1585049164897458,,11/1/17 15:13,#65160 Almost you guys: CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME,3,1,0,1,1,0,0,0
1585049164897458_1585133168222391,462508190484900_1585049164897458,,11/1/17 3:43,#43807 CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME,6,6,0,0,0,0,0,0
1585049334897441_1585399184862456,462508190484900_1585049334897441,,11/1/17 8:52,#21475 I hope it was the same guy. Then you can kidnap him and force him to comparatively rank you on a pleasurability index.,2,1,0,0,1,0,0,0
1585049334897441_1585460494856325,462508190484900_1585049334897441,,11/1/17 10:18,#15865 CUSTOM_NAME Figured I would give Constantine a break this week,1,1,0,0,0,0,0,0
1585049284897446_1585952364807138,462508190484900_1585049284897446,,11/1/17 22:15,#3591 CUSTOM_NAME oh my god wrong school but still,1,0,0,0,1,0,0,0
1585048691564172_1585064964895878,462508190484900_1585048691564172,,11/1/17 1:38,#14858 Youre competing to be above average. Dont get it twisted,7,6,1,0,0,0,0,0
1585048691564172_1585060824896292,462508190484900_1585048691564172,,11/1/17 1:29,#46443 CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME our system is good,4,2,0,0,2,0,0,0
1585048908230817_1586045128131195,462508190484900_1585048908230817,,11/2/17 0:47,#17408 colorless green ideas sleep furiously in an amazing grad dorm,0,0,0,0,0,0,0,0
1585048908230817_1585330071536034,462508190484900_1585048908230817,,11/1/17 7:35,"#99 I can't tell if this is sarcastic or not, but it still makes me a little sad.",2,2,0,0,0,0,0,0
1585048821564159_1585817708153937,462508190484900_1585048821564159,,11/1/17 18:27,#85112 CUSTOM_NAME when u spend all ur btc profit to pay for tuitions D:,2,1,0,0,0,1,0,0
1585048821564159_1585662908169417,462508190484900_1585048821564159,,11/1/17 14:36,#22101 CUSTOM_NAME you CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME,2,2,0,0,0,0,0,0
1585046911564350_1585894961479545,462508190484900_1585046911564350,,11/1/17 20:45,#89649 CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME CUSTOM_NAME,0,0,0,0,0,0,0,0
1585048408230867_1585462861522755,462508190484900_1585048408230867,,11/1/17 10:22,"#56610 Wow, look at you, being all mature and stuff. Good job!",31,28,0,0,3,0,0,0
1585048408230867_1586558651413176,462508190484900_1585048408230867,,11/2/17 12:40,#62382 If she ain't got six c's she ain't thicccccc CUSTOM_NAME CUSTOM_NAME,3,0,2,0,1,0,0,0
1585043788231329_1585432108192497,462508190484900_1585043788231329,,11/1/17 9:40,#190 go to S^3 and talk to them to see how they can help.,14,14,0,0,0,0,0,0
1585042318231476_1585255158210192,462508190484900_1585042318231476,,11/1/17 6:03,"#57280 Hold up. You're referring to lowercase sigma. Uppercase sigma is one of the greatest, so you gotta be more specific before people start getting offended",17,15,2,0,0,0,0,0
1585045411564500_1585478184854556,462508190484900_1585045411564500,,11/1/17 10:46,"#64478 Hayden makes me so sad. The second floor was so nice, and the first floor was for studying/depression. Now the second floor is bare, and the first floor is still depressing but more crowded.",4,4,0,0,0,0,0,0
1585040624898312_1586056941463347,462508190484900_1585040624898312,,11/2/17 1:03,"#19429 If you are already not getting hired, then maybe you should give others a chance?",0,0,0,0,0,0,0,0
1585040624898312_1585284028207305,462508190484900_1585040624898312,,11/1/17 6:52,#65143 Not course 6! The hatred/envy of computer science students is constant across all countries?,0,0,0,0,0,0,0,0
1585041864898188_1585496054852769,462508190484900_1585041864898188,,11/1/17 11:07,#28212 CUSTOM_NAME did you write this about yourself,4,4,0,0,0,0,0,0
1585042824898092_1585539574848417,462508190484900_1585042824898092,,11/1/17 12:04,"#11281 As a human potato, I'm encouraged. As a regular potato I'm intimidated",2,2,0,0,0,0,0,0
1585043174898057_1585084814893893,462508190484900_1585043174898057,,11/1/17 2:13,"#4839 I mean, half the students here have to be below average right?",12,11,0,1,0,0,0,0
1585043174898057_1585606148175093,462508190484900_1585043174898057,,11/1/17 13:20,"#33474 Senior protip: don't try to compensate by being the best student in the class. Shoot for average, your body/stress level/friends will thank you",3,3,0,0,0,0,0,0
1585043174898057_1585720958163612,462508190484900_1585043174898057,,11/1/17 15:52,"#14498 Remember ... life is a marathon, never a 100 m short track. The most important is to 'keep grinding' no matter who you are, where you are, during your time at MIT and beyond. ;-)",1,1,0,0,0,0,0,0
