comment_id,status_id,parent_id,comment_published,comment_message,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1074653592603687_1074654855936894,462508190484900_1074653592603687,,5/6/16 1:45,"#16562 You realize this confession wouldn't have been possible without Facebook, right?...",51,51,0,0,0,0,0,0
1074653592603687_1074692852599761,462508190484900_1074653592603687,,5/6/16 3:21,"#75796 This has a point though. If you just want a good software engineering job (and don't care about meeting people or about other academic disciplines) then coming to MIT doesn't make much sense, you can learn to code by yourself pretty good and for less buck.",1,1,0,0,0,0,0,0
1074653592603687_1075144689221244,462508190484900_1074653592603687,,5/6/16 22:01,"#56586 You do know that both Facebook and Tinder have ""data science"" teams, right? Sounds like science to me...",1,1,0,0,0,0,0,0
1074653592603687_1074924219243291,462508190484900_1074653592603687,,5/6/16 12:41,"#52915 I go to the best school in the world so I can meet the best people in the field/amazing peers. Sorry to say, but Networking >> What you actually know in the real world",2,2,0,0,0,0,0,0
1074653592603687_1074655135936866,462508190484900_1074653592603687,,5/6/16 1:46,"#84732 TIL you don't need to ""do some fucking science"" while working at a software company.",5,5,0,0,0,0,0,0
1074652392603807_1074679615934418,462508190484900_1074652392603807,,5/6/16 2:56,"#23460 Anorexia is an eating disorder, not a mark of discipline. Overcoming it is a sign of strength.",12,12,0,0,0,0,0,0
1074652265937153_1074788769256836,462508190484900_1074652265937153,,5/6/16 7:32,#29242 Maybe they were talking about paint colors. Or undershirts. Or Magic cards. Idk,7,7,0,0,0,0,0,0
1074652265937153_1074993585903021,462508190484900_1074652265937153,,5/6/16 15:22,#43543 This may have been me talking about Magic cards? Lmao,3,3,0,0,0,0,0,0
1074083079327405_1074131935989186,462508190484900_1074083079327405,,5/5/16 2:21,"#81234 False: period is always capital tau, no exceptions. Also don't be a pleb and used reduced momentum mu*v. Use P for power and p for pressure and use any letter for an arbitrary probability function. Shit learn your damn conventions!",4,4,0,0,0,0,0,0
1074083079327405_1074214999314213,462508190484900_1074083079327405,,5/5/16 6:41,#88132 You need to accept Glorious Fraktur into your life.,0,0,0,0,0,0,0,0
1074081695994210_1074083072660739,462508190484900_1074081695994210,,5/4/16 23:44,#49783 You could always just try to make the first move. Rejection's part of life.,4,4,0,0,0,0,0,0
1074081482660898_1074303362638710,462508190484900_1074081482660898,,5/5/16 9:55,#3645 Just bring in a stubby hobbit with a big ass. He'll follow soon enough,1,1,0,0,0,0,0,0
1074081089327604_1074093369326376,462508190484900_1074081089327604,,5/5/16 0:22,#67983 You should check out the tent being built on the dot by the Green Building too,7,7,0,0,0,0,0,0
1074081089327604_1074225705979809,462508190484900_1074081089327604,,5/5/16 7:13,"#89888 if we keep up the pace, we'll find ourselves under a tent covering the entire campus O.o",2,2,0,0,0,0,0,0
1074078435994536_1074080849327628,462508190484900_1074078435994536,,5/4/16 23:36,#8375 just wait until you get to the 6-1 classes offered every other year,5,5,0,0,0,0,0,0
1074076872661359_1074162329319480,462508190484900_1074076872661359,,5/5/16 4:10,#90123 MIT gave you a gf? where the fuck do i get one there wasn't one in my admissions package ???,22,22,0,0,0,0,0,0
1074076872661359_1074319465970433,462508190484900_1074076872661359,,5/5/16 10:23,#5805 Have you tried turning it off and turning it on again?,9,9,0,0,0,0,0,0
1074076872661359_1074231742645872,462508190484900_1074076872661359,,5/5/16 7:34,#43735 I'm pretty sure you can get a replacement drive at the hardware store.,6,6,0,0,0,0,0,0
1073002092768837_1073011559434557,462508190484900_1073002092768837,,5/3/16 1:47,#39088 well if you're not gonna walk can I have your unused grad tix? #shameless,18,18,0,0,0,0,0,0
1073002092768837_1073005129435200,462508190484900_1073002092768837,,5/3/16 1:38,#16667 YES YOU DO YOU MAGNIFICENT BUTTERFLY! Get on dat waitlist tho :),5,5,0,0,0,0,0,0
1072997699435943_1073039339431779,462508190484900_1072997699435943,,5/3/16 3:18,#16106 if you do it in lobby 7 people might mistake it as performance art,63,63,0,0,0,0,0,0
1072997699435943_1073162809419432,462508190484900_1072997699435943,,5/3/16 8:34,#32584 Steps on mass ave. Chinese tourists will take pictures of you.,15,15,0,0,0,0,0,0
